Title,Genre,ReleaseYear,ArtistName
Album_0,Rock,2020,Artist_0
Album_1,Jazz,2005,Artist_1
Album_2,Pop,1999,Artist_2
Album_3,Jazz,1987,Artist_3
Album_4,Jazz,2017,Artist_4
Album_5,Electronic,1977,Artist_5
Album_6,Hip Hop,1970,Artist_6
Album_7,Classical,2013,Artist_7
Album_8,Pop,1990,Artist_8
Album_9,Hip Hop,2007,Artist_9
Album_10,Electronic,1979,Artist_10
Album_11,Pop,2016,Artist_11
Album_12,Hip Hop,1997,Artist_12
Album_13,Rock,1981,Artist_13
Album_14,Electronic,1992,Artist_14
Album_15,Jazz,1986,Artist_15
Album_16,Hip Hop,2007,Artist_16
Album_17,Rock,1990,Artist_17
Album_18,Rock,1965,Artist_18
Album_19,Jazz,2018,Artist_19
Album_20,Classical,2011,Artist_20
Album_21,Pop,2023,Artist_21
Album_22,Hip Hop,2003,Artist_22
Album_23,Rock,1995,Artist_23
Album_24,Jazz,1960,Artist_24
Album_25,Pop,2005,Artist_25
Album_26,Electronic,1967,Artist_26
Album_27,Classical,2018,Artist_27
Album_28,Electronic,2018,Artist_28
Album_29,Jazz,1989,Artist_29
Album_30,Hip Hop,2003,Artist_30
Album_31,Classical,2000,Artist_31
Album_32,Hip Hop,1987,Artist_32
Album_33,Hip Hop,2021,Artist_33
Album_34,Hip Hop,2022,Artist_34
Album_35,Electronic,1976,Artist_35
Album_36,Hip Hop,2004,Artist_36
Album_37,Classical,1980,Artist_37
Album_38,Rock,1990,Artist_38
Album_39,Rock,1997,Artist_39
Album_40,Hip Hop,1978,Artist_40
Album_41,Pop,1989,Artist_41
Album_42,Hip Hop,1973,Artist_42
Album_43,Rock,1997,Artist_43
Album_44,Electronic,2019,Artist_44
Album_45,Hip Hop,1971,Artist_45
Album_46,Rock,1970,Artist_46
Album_47,Electronic,2008,Artist_47
Album_48,Hip Hop,1994,Artist_48
Album_49,Hip Hop,1976,Artist_49
Album_50,Hip Hop,1961,Artist_50
Album_51,Pop,1998,Artist_51
Album_52,Electronic,1988,Artist_52
Album_53,Rock,1962,Artist_53
Album_54,Classical,1996,Artist_54
Album_55,Rock,2014,Artist_55
Album_56,Hip Hop,2023,Artist_56
Album_57,Rock,1974,Artist_57
Album_58,Hip Hop,1967,Artist_58
Album_59,Pop,1969,Artist_59
Album_60,Jazz,1976,Artist_60
Album_61,Rock,1975,Artist_61
Album_62,Jazz,1969,Artist_62
Album_63,Jazz,1998,Artist_63
Album_64,Pop,1960,Artist_64
Album_65,Electronic,2012,Artist_65
Album_66,Electronic,2021,Artist_66
Album_67,Jazz,1972,Artist_67
Album_68,Pop,1977,Artist_68
Album_69,Jazz,1993,Artist_69
Album_70,Jazz,2019,Artist_70
Album_71,Rock,1993,Artist_71
Album_72,Classical,1974,Artist_72
Album_73,Rock,1979,Artist_73
Album_74,Hip Hop,2004,Artist_74
Album_75,Electronic,2006,Artist_75
Album_76,Electronic,1977,Artist_76
Album_77,Jazz,2001,Artist_77
Album_78,Hip Hop,2003,Artist_78
Album_79,Jazz,1986,Artist_79
Album_80,Classical,2002,Artist_80
Album_81,Hip Hop,1970,Artist_81
Album_82,Classical,2020,Artist_82
Album_83,Pop,1974,Artist_83
Album_84,Electronic,1995,Artist_84
Album_85,Rock,2021,Artist_85
Album_86,Classical,1982,Artist_86
Album_87,Jazz,1962,Artist_87
Album_88,Hip Hop,2005,Artist_88
Album_89,Classical,1988,Artist_89
Album_90,Jazz,1968,Artist_90
Album_91,Electronic,2001,Artist_91
Album_92,Jazz,2000,Artist_92
Album_93,Pop,1993,Artist_93
Album_94,Hip Hop,1964,Artist_94
Album_95,Pop,2019,Artist_95
Album_96,Hip Hop,2018,Artist_96
Album_97,Classical,1992,Artist_97
Album_98,Jazz,1972,Artist_98
Album_99,Rock,1972,Artist_99
Album_100,Jazz,1993,Artist_100
Album_101,Classical,1986,Artist_101
Album_102,Classical,1990,Artist_102
Album_103,Hip Hop,2000,Artist_103
Album_104,Jazz,2023,Artist_104
Album_105,Pop,2003,Artist_105
Album_106,Electronic,1977,Artist_106
Album_107,Electronic,1989,Artist_107
Album_108,Rock,2010,Artist_108
Album_109,Classical,2005,Artist_109
Album_110,Electronic,2021,Artist_110
Album_111,Rock,2021,Artist_111
Album_112,Jazz,2017,Artist_112
Album_113,Hip Hop,2020,Artist_113
Album_114,Electronic,1961,Artist_114
Album_115,Classical,1980,Artist_115
Album_116,Hip Hop,2022,Artist_116
Album_117,Electronic,1977,Artist_117
Album_118,Classical,2000,Artist_118
Album_119,Rock,1962,Artist_119
Album_120,Electronic,1969,Artist_120
Album_121,Jazz,1997,Artist_121
Album_122,Electronic,1977,Artist_122
Album_123,Rock,2013,Artist_123
Album_124,Pop,1983,Artist_124
Album_125,Hip Hop,1983,Artist_125
Album_126,Electronic,1995,Artist_126
Album_127,Electronic,2011,Artist_127
Album_128,Rock,2005,Artist_128
Album_129,Electronic,2014,Artist_129
Album_130,Electronic,1973,Artist_130
Album_131,Hip Hop,1981,Artist_131
Album_132,Pop,2022,Artist_132
Album_133,Rock,1973,Artist_133
Album_134,Classical,2005,Artist_134
Album_135,Classical,2003,Artist_135
Album_136,Electronic,1968,Artist_136
Album_137,Hip Hop,2002,Artist_137
Album_138,Pop,1961,Artist_138
Album_139,Hip Hop,2002,Artist_139
Album_140,Classical,1997,Artist_140
Album_141,Classical,1964,Artist_141
Album_142,Hip Hop,2013,Artist_142
Album_143,Jazz,2021,Artist_143
Album_144,Electronic,1969,Artist_144
Album_145,Electronic,1990,Artist_145
Album_146,Hip Hop,1977,Artist_146
Album_147,Pop,1977,Artist_147
Album_148,Electronic,2013,Artist_148
Album_149,Hip Hop,1967,Artist_149
Album_150,Electronic,1960,Artist_150
Album_151,Pop,2023,Artist_151
Album_152,Classical,2001,Artist_152
Album_153,Hip Hop,2002,Artist_153
Album_154,Electronic,1996,Artist_154
Album_155,Classical,2008,Artist_155
Album_156,Pop,1997,Artist_156
Album_157,Pop,1986,Artist_157
Album_158,Classical,2020,Artist_158
Album_159,Classical,2012,Artist_159
Album_160,Electronic,2004,Artist_160
Album_161,Hip Hop,1990,Artist_161
Album_162,Rock,2012,Artist_162
Album_163,Classical,2001,Artist_163
Album_164,Electronic,1960,Artist_164
Album_165,Rock,1991,Artist_165
Album_166,Rock,2021,Artist_166
Album_167,Classical,1964,Artist_167
Album_168,Classical,1960,Artist_168
